period,stateid,value,type
2027-03-01,IN,9209.467,Forecasted
2027-04-01,IN,9188.448,Forecasted
2027-05-01,IN,9194.629,Forecasted
2027-06-01,IN,9228.025,Forecasted
2027-07-01,IN,9436.183,Forecasted
2027-08-01,IN,9436.183,Forecasted
2027-09-01,IN,9269.047,Forecasted
2027-10-01,IN,9221.232,Forecasted
2027-11-01,IN,9214.514,Forecasted
2027-12-01,IN,9263.78,Forecasted
2028-01-01,IN,9290.384,Forecasted
2028-02-01,IN,9209.467,Forecasted
2028-03-01,IN,9209.467,Forecasted
2028-04-01,IN,9188.448,Forecasted
2028-05-01,IN,9194.629,Forecasted
2028-06-01,IN,9228.025,Forecasted
2028-07-01,IN,9436.183,Forecasted
2028-08-01,IN,9436.183,Forecasted
2028-09-01,IN,9269.047,Forecasted
2028-10-01,IN,9221.232,Forecasted
2028-11-01,IN,9214.514,Forecasted
2028-12-01,IN,9263.78,Forecasted
2029-01-01,IN,9290.384,Forecasted
2029-02-01,IN,9209.467,Forecasted
2029-03-01,IN,9209.467,Forecasted
2029-04-01,IN,9188.448,Forecasted
2029-05-01,IN,9194.629,Forecasted
2029-06-01,IN,9228.025,Forecasted
2029-07-01,IN,9436.183,Forecasted
2029-08-01,IN,9436.183,Forecasted
2029-09-01,IN,9269.047,Forecasted
2029-10-01,IN,9221.232,Forecasted
2029-11-01,IN,9214.514,Forecasted
2029-12-01,IN,9263.78,Forecasted
2030-01-01,IN,9290.384,Forecasted
2030-02-01,IN,9209.467,Forecasted
2030-03-01,IN,9209.467,Forecasted
2030-04-01,IN,9188.448,Forecasted
2030-05-01,IN,9194.629,Forecasted
2030-06-01,IN,9228.025,Forecasted
2030-07-01,IN,9436.183,Forecasted
2030-08-01,IN,9436.183,Forecasted
2025-09-01,IL,13130.068,Forecasted
2025-10-01,IL,13084.561,Forecasted
2025-11-01,IL,12833.103,Forecasted
2025-12-01,IL,12900.282,Forecasted
2026-01-01,IL,13348.232,Forecasted
2026-02-01,IL,12666.75,Forecasted
2026-03-01,IL,12666.75,Forecasted
2026-04-01,IL,12642.405,Forecasted
2026-05-01,IL,13026.866,Forecasted
2026-06-01,IL,13092.579,Forecasted
2026-07-01,IL,13529.191,Forecasted
2026-08-01,IL,13529.191,Forecasted
2026-09-01,IL,13130.068,Forecasted
2026-10-01,IL,13084.561,Forecasted
2026-11-01,IL,12833.103,Forecasted
2026-12-01,IL,12900.282,Forecasted
2027-01-01,IL,13348.232,Forecasted
2027-02-01,IL,12666.75,Forecasted
2027-03-01,IL,12666.75,Forecasted
2027-04-01,IL,12642.405,Forecasted
2027-05-01,IL,13026.866,Forecasted
2027-06-01,IL,13092.579,Forecasted
2027-07-01,IL,13529.191,Forecasted
2027-08-01,IL,13529.191,Forecasted
2027-09-01,IL,13130.068,Forecasted
2027-10-01,IL,13084.561,Forecasted
2027-11-01,IL,12833.103,Forecasted
2027-12-01,IL,12900.282,Forecasted
2028-01-01,IL,13348.232,Forecasted
2028-02-01,IL,12666.75,Forecasted
2028-03-01,IL,12666.75,Forecasted
2028-04-01,IL,12642.405,Forecasted
2028-05-01,IL,13026.866,Forecasted
2028-06-01,IL,13092.579,Forecasted
2028-07-01,IL,13529.191,Forecasted
2028-08-01,IL,13529.191,Forecasted
2028-09-01,IL,13130.068,Forecasted
2028-10-01,IL,13084.561,Forecasted
2028-11-01,IL,12833.103,Forecasted
2028-12-01,IL,12900.282,Forecasted
2029-01-01,IL,13348.232,Forecasted
2029-02-01,IL,12666.75,Forecasted
2029-03-01,IL,12666.75,Forecasted
2029-04-01,IL,12642.405,Forecasted
2029-05-01,IL,13026.866,Forecasted
2029-06-01,IL,13092.579,Forecasted
2029-07-01,IL,13529.191,Forecasted
2029-08-01,IL,13529.191,Forecasted
2029-09-01,IL,13130.068,Forecasted
2029-10-01,IL,13084.561,Forecasted
2029-11-01,IL,12833.103,Forecasted
2029-12-01,IL,12900.282,Forecasted
2030-01-01,IL,13348.232,Forecasted
2030-02-01,IL,12666.75,Forecasted
2030-03-01,IL,12666.75,Forecasted
2030-04-01,IL,12642.405,Forecasted
2030-05-01,IL,13026.866,Forecasted
2030-06-01,IL,13092.579,Forecasted
2030-07-01,IL,13529.191,Forecasted
2030-08-01,IL,13529.191,Forecasted
2025-09-01,ID,2614.0486,Forecasted
2025-10-01,ID,2558.353,Forecasted
2025-11-01,ID,2551.6343,Forecasted
2025-12-01,ID,2607.976,Forecasted
2026-01-01,ID,2631.9949,Forecasted
2026-02-01,ID,2566.9924,Forecasted
2026-03-01,ID,2566.9924,Forecasted
2026-04-01,ID,2532.7095,Forecasted
2026-05-01,ID,2538.89,Forecasted
2026-06-01,ID,2629.8171,Forecasted
2026-07-01,ID,2698.1116,Forecasted
2026-08-01,ID,2698.1116,Forecasted
2026-09-01,ID,2614.0486,Forecasted
2026-10-01,ID,2558.353,Forecasted
2026-11-01,ID,2551.6343,Forecasted
2026-12-01,ID,2607.976,Forecasted
2027-01-01,ID,2631.9949,Forecasted
2027-02-01,ID,2566.9924,Forecasted
2027-03-01,ID,2566.9924,Forecasted
2027-04-01,ID,2532.7095,Forecasted
2027-05-01,ID,2538.89,Forecasted
2027-06-01,ID,2629.8171,Forecasted
2027-07-01,ID,2698.1116,Forecasted
2027-08-01,ID,2698.1116,Forecasted
2027-09-01,ID,2614.0486,Forecasted
2027-10-01,ID,2558.353,Forecasted
2027-11-01,ID,2551.6343,Forecasted
2027-12-01,ID,2607.976,Forecasted
2028-01-01,ID,2631.9949,Forecasted
2028-02-01,ID,2566.9924,Forecasted
2028-03-01,ID,2566.9924,Forecasted
2028-04-01,ID,2532.7095,Forecasted
2028-05-01,ID,2538.89,Forecasted
2028-06-01,ID,2629.8171,Forecasted
2028-07-01,ID,2698.1116,Forecasted
2028-08-01,ID,2698.1116,Forecasted
2028-09-01,ID,2614.0486,Forecasted
2028-10-01,ID,2558.353,Forecasted
2028-11-01,ID,2551.6343,Forecasted
2028-12-01,ID,2607.976,Forecasted
2029-01-01,ID,2631.9949,Forecasted
2029-02-01,ID,2566.9924,Forecasted
2029-03-01,ID,2566.9924,Forecasted
2029-04-01,ID,2532.7095,Forecasted
2029-05-01,ID,2538.89,Forecasted
2029-06-01,ID,2629.8171,Forecasted
2029-07-01,ID,2698.1116,Forecasted
2029-08-01,ID,2698.1116,Forecasted
2029-09-01,ID,2614.0486,Forecasted
2029-10-01,ID,2558.353,Forecasted
2029-11-01,ID,2551.6343,Forecasted
